sentence,label
看了DP去的，因为爱吃绿豆糕。。以为买不到，结果居然买到了，还买了一堆别的东西。。说实话，绿豆糕一般，其他真的是很难吃，，尤其是面包类。。唉，。不会再去了。。,0
逛完七浦路，直接杀到这边来了，一碗老鸭粉丝汤加一个牛肉煎包，老鸭汤量很足，好大的一碗，就是感觉好像放了很多味精，牛肉煎包味道也不错，两样加在一起一顿饭解决了。,1
中午吃的套餐，水果和甜品是自助的，虽然品种不多，但是质量不错，菜是由外籍厨师亲自主刀，味道还不错，感觉食材很新鲜，餐后还有杯咖啡，客人以老外为主~,1
真是很差很差。原先想吃蛙蛙叫干锅牛蛙。可是人太多了。所以无意中发现这家就去尝尝。量少。价格贵。服务态度差。叫她们倒水叫了四五遍。以后再也不会去了。,0
来过这家店几次，整体感觉还不错。 宁波海鲜都适合上海人的口味。 包房有最低消费1800元一桌不含酒水和海鲜，菜价不算便宜。 个人比较喜欢脆皮牛肉和葱油梭子蟹。 朋友家人聚会可以来一起吃吃。,1
记得同学说过 有麦当劳的地方必有肯德基..真的是无处不在啊 有很多理工的学生在这吃饭..依旧喜欢圣代 虽然热量高...忍了..,1
公司请客吃饭，附近没啥吃就挑了这家看上去还不错的。 每个人叫了套餐，我叫的是牛肉石锅拌饭，配菜有碗罗松汤。 饭有点软，我觉得应该硬硬的拌饭会比较好吃，牛肉到很香。 吃好的时候一身的石锅味道。。。,1
环境小资，服务尚可。 有个汤不错，味道浓郁，里面有鸡和海鲜。 半条鱼味道也很好，虽然清淡但不失鲜美。 肉丸也很好吃，女儿最爱 价格么不便宜，但是还可以接受。,1
好像所有的主菜都围绕着一个主题：鸡肉。 上来一盘鸡腿个个是糊的，连铁板盘也缭绕着一股糊味。你们真省，一滴油不使咧。我知道，与吃饭之道厉害，直接用那只手。。。但，拜托，一晚上全是糊的肉吃到嘴里吞到肚里不致癌吗！ 那已经不是吃多几亿大肠杆菌的事了。 一个鸡肉汤做的似酸辣汤加几粒鸡肉，而酸辣又是那么少，香菜撒了一碗，分不出是酸辣还是香菜还是鸡肉汤。虽然抱着这家会做的很差的打算，但没想到会这么差！,0
最招牌的鸭肫雪菜与以前比，滋味差了一些，说不清少的是什么。。。价格是越来越贵了，一个西红柿腰子汤要近三十块，一份干子炒芦蒿要二十块。。。。比大饭店的菜价还要贵得来~~~~~ 不会再去咯。,0
记得某年情人节和老公去的，那真是凑热闹，人多还不说，还排队。排队完了坐下来，位子很挤很挤。大概情人节就是这样吧。霸王条例是，只有三种套餐选择，哎……很郁闷的是牛排很老。如果是换成平时的价格，那还可以。所以高峰时段不会去了,0
"从台湾回来一直念念不忘炸鸡排,偶然网上看到这家,就特地赶去吃,结果,好失望.鸡排炸好颜色有点黑棕色,吃起来也不嫩,嚼的两鬓酸,真的是口感不好.",0
性价比比较高的一家好伦哥~地方也不小~周边大学经常来这聚餐~一大帮人一起吃饭很有赶脚~ 披萨没什么很特别的~中规中矩~水果和蔬菜挺新鲜的~ 冰激凌也不错~大家一起就图个气氛~,1
難得請天假，預約了解剪頭髮的，完後坐坐喝杯咖啡，時代廣場樓下的那個人太多多少了，一不小心撞到了浦城路這裡，相對來，這裡更安靜些。星巴克的味道全球統一，不用質疑，關鍵是這裡的人服務態度非常好，親切。不像正大廣場下面那個。,1
最喜欢的当属章鱼五花肉石锅拌饭了。每次去的必点！这家店在弘基的二楼，女老板很热情的。吃完饭还有免费的南瓜粥或冰淇淋。只是店面有点小了。,1
超市是你家，东西随便拿，哈哈哈 东西很实惠，之前总能看到糖抢空了，油抢空了。 平均每个月都会去逛一趟就是。卖场外的冰淇淋倒是每次LG都说要吃的。,1
周六来这家店吃的晚饭，走进店堂，感觉店内装修一般，空调不是很冷。 点了水煮鱼，芥末鸭掌，草创借箭等一共六个菜，三热三冷。总的感觉菜不是很辣，是已经改良过的重庆菜，比较符合上海人口味。草创借箭的虾有点咸，鸭下巴味道不错。店家服务很一般，服务员不是很主动，且上菜比较慢，吃川菜比较怕热，希望店家以后可以注意下环境服务等方面细节。,1
去过2次，都是周末，人很多，上菜慢，菜也很咸，感觉没有湖西的那家必胜客味道正。随便吃吃还行吧。填饱肚子而已，说不上口味。,0
和朋友 一共3个人吃的 因为中环百联其他店都要排队 这里不用 就吃了 结果太另人失望了 虽然价钱是很便宜 但是口味真的不怎么样啊。。。,0
来福士人气真的很旺，不管什么时候去人都蛮多的。。。 比较喜欢楼下的小吃，特别是那个米线~~好吃啊 至于楼上一些牌子买不起啊。。。,1
中午去吃的，吃过几种定食和面，吃了最好吃的就是开边鱼了，其他都很一般。 35块，有鱼、饭、色拉、小菜、蒸蛋、汤，绝对吃的饱。 饭后还有免费的水果或者冰激凌。,1
文庙逛完了好累呀~那就坐下来吃点东西吧~ 不过很后悔没有吃面而是吃的排骨年糕 年糕就那么小一咄咄，排骨么也没巴掌大 酱油么超多的，都可以当汤了 总而言之，一般中的一般性呀,0
羊肉串太难吃了，而且还有砂子，块是挺大的，但没有水分，太干，而且太贵了，.•••••••••••••••••,0
炒肝就包子，味道如此和谐，就如同螃蟹配醋和姜一样。小时候，很喜欢西四的二友居，可惜拆迁了。这家味道也可以，不过还是最喜欢二友居,1
鼓足勇气决定把长发剪成短发，在网上游来游去，最后选中了这家，下载了剪发68的优惠券。地方还算是好找，在昆泰的后面。到了店里简单的说明了情况，店家介绍了阿飞老师剪发，本以为长发剪短发会很费时间，经过简单的交流，老师开始剪发，不到一个小时的工夫，收工。刚刚剪完的时候甚是满意啊！但是现在一个月的时间过去了，怎么看自己的短发怎么觉得难看，可能是我的脸型不适合短发吧，还是想要留长，唉！既然决定要留长发，又不敢去收拾，只能凑合着看了。,1
第一次进香啡缤。店里面周末早上没人。服务员很冷淡，像上辈子欠了钱似的。拿到收银条才知道原来早上又半价活动，估计是因为半价，就没给好脸色吧。 口味很一般，点的是香草拿铁，没有搅匀就给我了，上面一层甜得要死，下面一层很淡很淡，不知道是不是新手。冰块加了有一半了。 反正下次是不会再去了。这次因为涂省事，公交车下来最先走到的就是他家。下次宁可走远一点去星巴克了。,0
朋友推荐，说这家是米其林三星饭店，特地来尝试一下，第一次吃这么正式的意大利菜。不过说实话价格真不便宜啊，套餐量会有点少。 那天去的时候貌似就2桌人。人气不是很旺。不过主厨是一个很有趣的老外。,1
半糖等于白开水，这怎么喝，他们懂什么叫半糖嘛？哎，失望了。下次考虑还是不吃这家了，不知道其他门店会不会也这样…,0
鸭血汤很鲜，味精没少放一定。打完这字看见烧汤的人把一大袋的味精都倒进锅里了。。。量少，鸭肠，鸭珍没捞几下碗底就干净了，清水光荡。生煎第一盘端上来，皮僵，明显没熟，退下去等第二锅。这时，隔壁的人也叫来服务员说大排里有虫，也给端下去了。总体这家店一般，不会再来了。,0
我觉得东直门桥附近的米粉就他们家口味最好，对了爱吃辣得人一定要放他们家的油辣椒，很辣味道很好，至于饭我倒是没有多吃，觉得非常一般，还是米粉好吃。,1
经常去吃午餐。。。12点的时候人非常多~~~要等很久的。。。夏天老板娘竟然推出了冷面。。真是很贴心啊~~很喜欢吃！还喜欢里面的小排饭和鱼香肉丝煲仔饭。。。好吃到极点了！！鱼香肉丝煲仔饭更是抢手货，很多时候都会卖光，所以要吃请趁早哦~~~里面的小菜比较喜欢香辣海带丝。冬天的时候记得还出过三鲜汤吧。。。里面料很足。炒饭喜欢有点辣辣的炒饭~~汤则喜欢那个鱼头汤。。。嘿嘿,1
华润万家的生意并不怎么样，这里的衣服类并没有什么品牌不过随便穿穿而已 食品的价格也有点高，可以刷会员卡的 很少来此，毕竟离公司远 不是很方便的,0
和媳妇一起去超市买东西，走到这了，就进来吃一口。米线，荠菜饺子，韭菜饺子各一份外加一盅鸡汤，一杯红豆沙沙。这就是一家山寨版的真功夫。汤味道还行，米线怪怪的。最不能忍受的是饺子。饺子里边的肉是肉糊和肉丁的混合物。肉丁，我负责任地说，绝对是下水和边角料，太恶心了。,0
至少是知名的连锁茶餐厅，各方面还比较正规和合理。 烧味四宝饭，口味并没太多特色，中规中矩。 其他的都没什么印象了，总之能填饱肚子而不至于很难吃的那种。,0
离家很近的一家，店不大，坐不了多少人，所以买完了拿着走的人很多，新出的黑樱桃摩卡很好喝，自己再加入巧克力粉味道就更棒了，夏天的时候可以坐在外面，这大冬天的，我们别美丽冻人咯~,1
口味不错 服务也不错 价格也算合适 总体来说是家不错的店 特色菜有几个 口味也不错 大厅和包间都吃过 感觉都不错 宴请什么的去这里也比较推荐,1
生煎包一块钱一个，皮好厚啊，关键的是服务员的态度不怎么样，爱理不理的。勺子什么的就像没洗干净一样，上面还有醋的痕迹，倒胃口,0
点了一笼多吃，小笼真心好吃啊，每个味道都很赞。 皮很薄，个挺大的，很新鲜，料很足。 一笼多吃里有虾肉，原味，蟹粉。蟹粉没大家说的那么腥啊。 炸猪排很一般 还点了个烧卖，一块钱，个头很大，味道还行。 可以说富春小笼是我吃过最好吃的小笼了，主要性价比还很高，不贵。还会再去,1
好久来这家披萨店了。和老婆一起来的，主要就是来吃披萨的，还有鸡翅。和蘑菇汤。。总体来说还算可以吧。服务的态度也很好，味道还是老样子，没什么变化。 时间长不吃会想在来的、,1
定的是周日百元房，进门一看吓一跳，房间小的可以，床是1.5米的，只靠往边上靠让宝宝睡最里面，但是卫浴区大的可以，淋浴房估计4个人可以同时洗，想不通这个设计。更不能忍受的是空调，就是床头上，往下吹风人受不了，往上吹的话根本不冷，闷的宝宝一身汗，下次不去住了。汉庭现在到哪都是小卡片，唉，做大规模了就这样乱七八糟了。,0
卤肉饭难吃，根本就不是卤肉，也就是个肉末，里面的蔬菜都蔫了，点餐的人员也不帮忙，两份豆浆10元，我妈正点得时候，我看到了什么快乐券的宣传板子，花5元买券就能得两杯免费豆浆。好在我眼尖看到了，不然多花钱。点餐员也不提醒下。心中不太舒服。后来发票刮出5块钱，我才痛快了。哈哈。,0
这里玩桌游还是挺好的 不错的选择 虽然是个小小的店家 地方不是很大 但是生意很好 开了很久服务不错 口碑也不错的,1
第一次吃全家的午餐，在外吃饭还是喜欢便利店的午餐，干净整洁，价格适中，买了大排饭，味道还行。现在夏天的还有+1元多一件酸梅汤或者酸枣汤的活动，解暑又实惠。,1
"喜欢那里的咖啡.焦糖玛奇朵,摩卡.里面有浓浓的奶和巧克力.前几天吃了一个冷饮,里面有花生酱香香的,还有奶油,冰块,好凉好爽,真好吃,就是一杯太小,又要了杯冰水, 免费上网,弄不来,叫了个服务生帮忙弄了一下,人家耐心很好的,帮忙搞定,信息秘码发手机,网上去了, 环境一直不错,小,精,喜欢这里",1
最近这里全部都是保安~个个和流氓一样的，苏宁电器也没生意的，里面的商家谁去谁倒霉~电视上海上还放出来大便水流到店里，都是吃饭的地方，真是恶心死了，去吃饭的人也是谁去谁倒霉~~~真心额差~~,0
小南国的旗舰店 味道大多数都很好，值得表扬的是脆皮乳鸽、水晶虾仁还有清蒸鲥鱼 冷菜味道都很好，有一个黑木耳，是芥末味道的~~装在一个大大的红辣椒里~~ 厕所干净，服务也好，就是好贵。。。,1
只去过一次，环境是很赞的，一人一锅也倒是干净卫生，不过现在一人一锅的太多了，选择多了，那边的性价比也不是很高，就没再去了。 当时记得那里的鸭血是很特别的，服务生端上来的时候，是鲜红鲜红的，不过味道的确不错，很嫩~ 自助调料品种也很多，主要还是吃个环境吧~,1
很早的一家好利来店。以前在附近上班的时候，总去这里买早点。 当时还没几家蛋糕店是开放制作现场的，觉得挺卫生、明亮的。 蛋糕味道还行，就是比同行稍微贵了一点。现在竞争的多了。不过每年还是吃好利来的月饼，觉得挺好吃的。一点也不腻，味道好。,1
5个人点了六道菜、有招牌鳝鱼、土鸡窝、鸭血臭豆腐、盐水鸭、还有两道小炒、除了鳝鱼还可以、其余的太难吃了、特别土鸡、一点味道都没有！难吃,0
很好吃啊 人很少中午 从11点吃到两点啊 很好吃 品种蛮多的 很容易烤熟~~ 不错 好友火锅 就是来不及吃~~ 好满足的 总之很不错的,1
从来没吃过那么难吃的日料！什么烤鳗鱼啊，天妇罗啊，还有银鳕鱼啊，都难吃到爆！ 烤肉还可以，只能这样说，绝对不会再去的！,0
核桃小方的奶油不错 和鲜奶杯一样 我的大爱~就是下面的蛋糕太厚太厚 而且是海绵蛋糕。。。我最讨厌的一类 我是把奶油和核桃刮下来吃的 - -b 但吃到一点点蛋糕 还算比较细腻吧可能别人喜欢 黄金芝士必须赞一个 和在日本吃到的一款有点像 怀念啊 下面那层蛋糕底没啥特色 还好是薄薄的一层,1
前身好像记得是稻香，现在换店成这家。真心烂！茶树菇炒猪颈肉没有肉。肉松炒豆角没有肉松。个个菜还要30+！这次坑爹了！,0
"浦东店去过2次,还行,这里浦西店可能生意不好,中午去的,有一半龙虾肉没弹性的.失望中...爪子28元/个.比浦东贵(25元).龙虾28/斤.浦东25斤.",0
9月12号，中秋节，路过附近，但也不是特别顺路，专程拐过去了一下，木有开门：（ 木有收到任何通知，我很桑心…… 不给差评了，给个一般吧。,0
我真系觉得距好一般，一碗普通的鞋底面都好过距，唔明为什么甘多人中意，其实距就系抄巧美起家，跟住整部假竹升机，汤相当味精，都唔明白电解个名恶就甘多人上当？真系好难吃，11文吃d甘噶也。过对面吃北方汉堡4文好过,0
价格贵，煮粥的海鲜已经明显比外面贵得很离谱，而且粥量还是以你点的海鲜的量来煮，真是莫名其妙，到处都是以喝粥人数为煮粥量，明显地变相要你多点海鲜，最后我和女友2人点了一斤的海鲜，出来只有四份之一锅粥，像是别人吃剩的量，这种手法太恶心,0
乐宾的店铺比友谊新天地感觉小一点，牌子也没有那么齐全 老是看到打折的广告，可是去了之后总是发现想买的都没有做活动 环境还不错吧，就是觉得服务态度比较一般,1
这里的牛蛙是特色美味，几乎来的顾客都会点的，也会推荐的， 生意很不错，做得一手好菜式，酸菜鱼也可以的，上餐也快， 总体还行的喔。,1
离单位还算近，可以送外卖，不过要等很久很久 = = 原来学校门口有一家，那会儿老去吃。 吃过西直门这家之后，明白了，原来每一家都一样难吃啊= = 就要过一次外卖，然后就再也不想吃他家的了= =,0
这家饭馆实际上是在原来的十八楼副食店的基础上改建的。它家的早点种类多也确实挺方便的。每天早晨人都不少。我吃过一回早点和午饭后来实在忍受不了它家的卫生条件而放弃。午饭的菜量不小。但是我觉得起码的卫生条件达不到要求一切都是白搭,0
半岛太子酒家是二沙岛半岛明珠的分店。茶市从早上十点开到下午三点。服务差，接近三点就开始催客埋单、三点正就关掉主灯和空调，怎说我也没少给加一服务费啊…茶市点心出品也甚一般：艾糍艾味淡，黑椒肉丸大肠中的肉丸有馊味，腐皮卷的皮软得像胶布，其余出品也只是不过不失。与二沙店落差大，又一间black list新店。,0
环境差强人意，以食物来看，价格不便宜，在景区旁边也难免了。服务员缺乏培训，很不规范，有些失望。除了饺子，建议不要点菜。,0
中午人巨多，不到12点很多吃的就没了，可以选择的很少，和楠姐要了2份宫保鸡丁饭，难吃的要命而且菜特别少，柠檬茶也难喝。再也不去了。,0
凡是在什么城里的许留山都不怎么样，比如海岸城，万象城。反正不缺生意嘛 丸子很硬，是一大败笔，芒果片很薄，一看就是偷工减料的 服务就更一般了，服务员爱理不理的，像欠她似的 环境嘛，唉，不说了,0
东西味道可以自选，吃到现在每次都不记得之前吃的是什么，反正全部吃过来又觉得全部一个味道，真是悲剧啊。比较清淡的，国外的说法就是低脂快餐。BF很喜欢吃，每次路过都会站在那里不动，然后买一个带回家做早餐，对我来说大了点，我是没试过一下吃完一个。 最好一次性快点挑完，不然服务员会嫌你太慢，饼干之类非常甜，能让人腻死在那味道里。,1
曾经在香港的深井烧鹅用餐，路过深圳这家店几次了，但是一直没有机会来。。 九月份的一天下班后来到此家店。。 万州烤鱼的字样如眼帘，可惜太火了，已经销售完毕了。。 随便点了些快餐类。。 第二次来，还是没有了万州烤鱼。。 直到第三次来，总算赶上了最后几条鱼，因为当我们入席后，邻桌的客人再点烤鱼，服务员的答复是：对不起，烤鱼已经没有了。。 味道确实不错，底料有：血豆腐、豆腐皮，味道不是很辣，符合本人的胃口。。,1
西餐厅的环境那是毋庸置疑的好，和同事来这里吃饭真的很舒适，座位很软。让人感觉到非常的礼遇。喜欢他们家的牛排，做到6分熟是最嫩的。还有咖啡也是非常的香浓,1
小宝栗子有多家连锁店，关顾过多个店铺，非常喜欢糖炒栗子，非常好剥皮，栗子也非常的香甜，冬天排队也要买的，北京的朋友来也推荐他们品尝！,1
不知道人均消费 呵呵 因为不是自己买单啦~不过据说不便宜~ 在包间吃的~ 装修还可以 ~也适合宴请~进门看到了很大的石斑鱼~~都是按份点的~ 鱼肉挺鲜美~ 沙茶酱和海鲜汁的小料最好吃了~ 鲍鱼很不错~ 熟的快~好吃~呵呵,1
贝儿多爸爸的泡芙工房，和她的缘分是几年以前了，佳世客的扶梯口处，经常的排队，最喜欢的就是他家的香草泡芙了，我喜欢原味的泡芙，味道浓浓的，超赞，推荐大家去吃哦,1
"这里的小点心里,觉得牛舌饼最好吃,藏饼相比之下就觉得一般了,上次还买了几个粽子吃,不是很喜欢,但是每天都有很多人买,产品都很新鲜,有空来买点也是不错的",1
算是取得比较多大的一家 因为就在朋友家楼下 超级方便 几乎每次都是美式 蓝莓芝士是大爱 要说服务真的就。。。不怎么样了 记得 有次应该是国庆还是端午放假前 和朋友一起过去的 朋友问店里的服务员放假的时间 谁知服务员竟然回说，告示在门上 可以自己去看 晕死了 这是什么服务态度啊！,0
以前还常常去这里吃午饭因为离公司近。现在服务是一天比一天差：上星期去吃午饭，朋友多要了点辣酱，还要收2元辣酱费。我们说不可能，又没人跟我们讲过。老板娘指着菜单上的小字体来拿钱。我们气呼呼的说，如果一定要这2元我们再不来了。老板娘说，无所谓，2元是一定要拿的。 看看，都是什么世道。为了2元辣酱还这么和老顾客干了起来。不提什么服务了。我是不会再去了。bye bye了，选择很多，不受他们的气。,0
两个人，点了个套餐1000大洋，喝剩下了存起来了，很热闹，玩到4点依然人很多，表演多，环境不错，老外多，曲子赞，反正就是玩的挺开心的！,1
比较有名气的新式日式餐厅，格式菜品都是比较惊艳的，很精致，都不舍得吃了，自然价格也比较客观，最爱京西酱烧银鳕鱼，口感很细腻饱满，吃了两份，鱼腩寿司也不错，吃了牛油果天罗妇奇奇怪怪，哈哈～还有一个忘了什么鱼，有点腻；整个口味比较适合西方人，奶油用的比较多。服务生有几个比较小帅而且很殷勤，经常会有各路明星出入，只是看你能不能认得出来了,1
这里美发还是不错的。现有一张面值2000元的VIP卡，每次美发可打8折。现1600元转让。 需要者请站内短信。或手机联系：13691320029。,1
可能是因为地理位置便捷吧~这里的钱柜人很多，尤其是周末，有时需要等位 钱柜的音响效果还是不错的，服务也还行，不过吃的东西越来越次了~,1
"家附近新开的巴黎春天,忍不住跟妈妈一起去逛逛 买的红豆布丁烤奶茶,味道中规中矩 还是挺喜欢这家店的,尽管价格稍贵",1
地方挺好找的，里面座位很舒服，总体环境还可以。 三个人点了莜面栲栳栳、过油肉、虾酱豆腐、凉拌灌肠、炒碗秃、两碗牛肉面。 我自己觉得虾酱豆腐还不错，比在家吃得可能是稍微差点儿。不过，另外两个人都表示吃不惯，说味道还行，就是讨厌虾酱。 过油肉和炒碗秃一定要热滚滚地吃啊，我们仨吃到最后，菜都凉了…… 凉拌灌肠挺好的，还帮别人打包了一份回去。 对了，上菜速度很赞！,1
真的。。很。。一般。。 不过比南京西路以前555的那家樱膳稍微好点 555那家现在好像关门了，以前199一个人放题，我和小子路2个人一起去的，味道让人后悔,0
冲着生日去的。提前预订，享受到了：受全单8.8折、生日蛋糕、合影等优惠。 每次去咖喱皇蟹必点，味道一如既往的好！ 坏境和气氛也一如既往的热闹，去这个地方吃饭的确很开心很舒服！ 一直很喜欢！！！最早一家店在香港广场，每次都去那里跑，现在浦东有了，哈哈！！！开心de！,1
之前去过他家新街口的那家店，这家从环境到味道都一般，只是坐拥新街口这条旺街，它跟着也成为了旺铺。虽然他家的东西性价比并不高，一碗云吞面起价是22元，最贵的是鲜虾的，只有八只，味道比不上馄饨侯的，地下的碱发的面根本苦涩难吃。本来想尝试他家新出的那个酸辣粉云吞呢，但是想到不能喝汤就放弃了。,0
对这家店真是无语了，我极少说某个菜/饭做得很难吃，但这家店的 滑蛋虾仁饭 真不是一般的难吃啊！！！蛋烧得半生不熟的不说，虾也是还没完全熟的，还带着一股生生的味道，实在是吃不下去。。。澳门焗猪扒饭 也是，说是焗的，但都没有芝士的味道，只在饭上加了一些番茄酱。但怎么说味道稍微还是比前面那个好一些。 唯一觉得还过得去的就是那个香浓奶茶了。 这家店以后再也不会去了。。。,0
这家店就在我女友家的楼下，去的那天懒的出去就去随便吃了一顿，味道很一般，价格偏高！最让我生气的是，至今要1元一包（没有档次的小纸巾），走的时候东西没吃完想打包顺便买一碗白饭，服务员说打包盒要2元一个，白米饭要5元一碗。下次再也不去了！,0
酒席定送了间新娘房，里面有新娘专用化妆间 好大的阳台，对着湖，有音乐喷泉，有桑拿和露天的浴池 晚上可以在浴缸里看星星～～ 很浪漫，很温馨，很漂亮，很满意,1
环境不错，服务态度也挺好的，什么时候大家去这里看看哦！真的很 不错，都在这里没事飙飙歌放松一下还是可以的，很不错哦！,1
某小男孩儿给我推荐的，硬拉着朋友去，结果。。。也不用这么多人吧！坐的地方都没有，服务员也是上了酒之后完全不见人影。。。 我还是比较喜欢以前兰桂坊的那种风格,1
专门经营四川口味的熟食店铺，除了一些四川口味的菜，我还会他们家的大红肠，味道也不错，就是门店太少了！,1
跟大渔铁板烧来比，菜品种类少一些，味道也稍微差一些。但是在他家吃饭，第一次用餐后会赠送50元的代金卷，所以下次再来吃的时候，一个人也就只用100元了，还是比较划算的。,1
总体觉得不是很值，价格有点小贵，快赶上哈根达斯了，但味道还是有差距的，就是看电影空段时间进来坐坐，下次应该不会去了，环境到时还可以,0
以前经常喝COCO，味道还不错吧，喜欢喝椰果奶绿。不过现在很少喝了，COCO的味道都差不多，没有什么大的区别。每次COCO都会很挤，买的人很多。,1
服务员收碗筷时，毫无收敛，感觉直接往框里扔的，噪音！！环境实在太差了，服务一塌糊涂。整个百联里，还没碰到过这样的。员工有没有培训过啊？！,0
这里的态度超差，好像欠他们钱的。我问现在那个买一赠一的什么饮料啊？她说：自已看。 本来很高兴消费， 结果超郁闷。这家服务员太垃圾啦。,0
坐落在召稼楼里面，口味不错，个人偏爱这家的蛋黄蟹，焖鱿鱼。由于家住在世博家园，所以对该店还是很熟悉的，说实在的，这家店在世博家园可以说是招牌第一，吃饭，聚会的地方。这周末去召稼楼玩，没想到老板把店也开到这里了，看来老板的生意越来越火了。上来点评一下，赚点积分。呵呵,1
真的很好吃！ 焖肉面很经典，面条、汤都很传统，找了好多年才找到这么好的苏州面馆 小笼的味道一级了，现包现蒸，超级好吃，皮薄汤多肉紧，还有一点点甜，哈哈！德笼馆啦，南翔小龙（连锁店）都不能和它比。 我和老公是这家店的超级粉丝 奥，忘了说了，虾仁面也超级帮，浇头是现炒的,1
离我们要看的电影还有1个多小时就去了 不是饭店的缘故吧 服务员在噶撒胡 看到那样吧 就不想进去了 实在口渴就点了份港式奶茶 感觉掺水掺的很厉害啊- -无语了,0
这是到目前为止我去过的最后悔的一家店。上菜慢连加饮料也慢，好几个服务员杵在那聊天不知道是做什么的。老板态度也狠糟糕，不过我也狠怀疑他的身份是不是老板。总之是奉劝想去吃日料的人要三思。这个价钱绝对能找到更好的店。,0
"口味及环境都还说的过去,没有出彩的东西. 服务员的服务很差,没有服务意识,也不专业,貌似是新招来的,还没怎么培训的样子.包括领班也不够职业.比原来那个北七家店要差. 因为是过年去吃的,加上周围也没有太多合适的店.所以,客人还是很多的.",0
价格真是忘记了，连店名也是看了照片才想起来的，但是那个自然不做作的环境一直记忆犹新~蓝白格子的床单布用来做桌布居然效果也不错哈~ 忘了自己要的什么咖啡，样子蛮赞的，好小一杯，某人要了龙舌兰，很好玩的一种吃法，盐巴，柠檬，白兰地~好玩好玩~ 就是上餐速度是真的很慢很慢……,1
一般吧，上回团购去的。想喝焦糖玛奇朵，说要给我做火山，我说不想喝那个，焦糖玛奇朵做的也不好喝，就是敷衍··反正也是团购便宜么，下回不会去了 别的店还好,0
